customer_id,customer_email,customer_created,subscription_id,status,created,current_period_start,current_period_end,cancel_at_period_end,canceled_at,price_id,product_id,interval,interval_count,quantity
cus_TtXx1lSE9oXQD3,active28@actual.com,2025-05-31T00:00:00+00:00,sub_1SvkrYBJL1dlpEW59VDaGwnW,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1Sv8ZRBJL1dlpEW5iWg9KHV0,prod_TsuOArfz8AZfay,month,1,1
cus_TtXwljJaO3WKIG,active6@actual.com,2025-05-31T00:00:00+00:00,sub_1SvkqVBJL1dlpEW5yJAHusej,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1Sv8ZRBJL1dlpEW5iWg9KHV0,prod_TsuOArfz8AZfay,month,1,1
cus_TtXw3bOaMRu4Nw,active9@actual.com,2025-05-31T00:00:00+00:00,sub_1SvkqgBJL1dlpEW5MZhfy7SP,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1Sv8ZRBJL1dlpEW5iWg9KHV0,prod_TsuOArfz8AZfay,month,1,1
cus_TtXwj5DiXCA1s7,active18@actual.com,2025-05-31T00:00:00+00:00,sub_1SvkqrBJL1dlpEW5QuYmI6Ls,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1Sv8ZRBJL1dlpEW5iWg9KHV0,prod_TsuOArfz8AZfay,month,1,1
cus_TtXyZn9VhQv7b1,active44@actual.com,2025-05-31T00:00:00+00:00,sub_1SvksqBJL1dlpEW5kQ3cs4cq,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1SvNLeBJL1dlpEW5MJFu88II,prod_TsuOArfz8AZfay,year,1,1
cus_TtXzPzj1uyIHuA,active58@actual.com,2025-05-31T00:00:00+00:00,sub_1SvktBBJL1dlpEW5WfRQdCVB,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1SvNLeBJL1dlpEW5MJFu88II,prod_TsuOArfz8AZfay,year,1,1
cus_TtXx3FrGyjLfFC,active34@actual.com,2025-05-31T00:00:00+00:00,sub_1Svks3BJL1dlpEW51TlAR9c9,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1Sv8ZRBJL1dlpEW5iWg9KHV0,prod_TsuOArfz8AZfay,month,1,1
cus_TtXwUUbRVWGNni,active24@actual.com,2025-05-31T00:00:00+00:00,sub_1Svkr2BJL1dlpEW5WSrdbKQh,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1Sv8ZRBJL1dlpEW5iWg9KHV0,prod_TsuOArfz8AZfay,month,1,1
cus_TtXxG87J4tTdTe,active26@actual.com,2025-05-31T00:00:00+00:00,sub_1SvkrCBJL1dlpEW56okapSvD,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1Sv8ZRBJL1dlpEW5iWg9KHV0,prod_TsuOArfz8AZfay,month,1,1
cus_TtXxAVbLNseC14,active27@actual.com,2025-05-31T00:00:00+00:00,sub_1SvkrNBJL1dlpEW5g1AsCUrQ,active,2025-05-31T00:00:00+00:00,,,FALSE,,price_1SvNLeBJL1dlpEW5MJFu88II,prod_TsuOArfz8AZfay,year,1,1
